FID,FID_1,city,holc_grade,holc_id,name,geometry_k,uf_unique_,Shape__Are,Shape__Len,Shape__Area,Shape__Length
93,93,Los Angeles,C,C117, ,e79f9bb8c1ded586,434,0.000711569,0.154803903,10640168.91,18260.19224
94,94,Los Angeles,C,C75, ,2d4788e0d8ca64ab,7220,5.00E-05,0.033254251,748438.6523,4075.118525
95,95,Los Angeles,C,C129, ,13fc17a9cf05479e,7158,0.000171903,0.064792085,2570159.477,8214.394252
96,96,Los Angeles,C,C98, ,d6fb98ffacb55ee8,7373,0.000224428,0.079087334,3357584.605,9232.275709
97,97,Los Angeles,C,C25, ,b351c9178abd39d8,7378,0.000354064,0.086158925,5304365.168,10709.01138
98,98,Los Angeles,D,D5, ,8422512cf32b763,7283,2.51E-05,0.0215851,376379.8555,2653.437415
99,99,Los Angeles,B,B85, ,d0b5e943f1ffc353,7108,0.000196446,0.074852719,2934794.234,9006.961796
100,100,Los Angeles,C,C92, ,1e8a3fd3653fa027,7152,0.000212909,0.059443331,3185080.711,7184.123275
101,101,Los Angeles,D,D65, ,7f3f2a6453720649,7087,0.00030438,0.078380482,4544876.055,9435.183446
102,102,Los Angeles,B,B102, ,e6b32df6a2c93251,6928,8.12E-05,0.038312969,1213712.164,4564.825797
103,103,Los Angeles,B,B90, ,6abcf25ef718be26,7142,3.42E-05,0.031735092,511114.207,3677.418515
104,104,Los Angeles,B,B99, ,40ac3df974f6a1a7,7119,0.000138006,0.048826398,2063999.113,5804.476005
105,105,Los Angeles,C,C100, ,4612b4563a982666,7254,0.000301111,0.101872555,4500358.707,12473.36056
106,106,Los Angeles,C,C42, ,dd6d9113738dc8b2,7329,0.000313456,0.156883127,4693599.992,18904.36214
107,107,Los Angeles,B,B32, ,199131516d34cc5c,7172,0.000130393,0.087449528,1951945.219,10828.6231
108,108,Los Angeles,C,C90, ,347093a1ba5e4370,7166,5.89E-05,0.030308389,881994.1641,3732.725347
109,109,Los Angeles,D,D14, ,a255be99c76ed86,899,7.76E-05,0.041171894,1162454.695,5067.420642
110,110,Los Angeles,C,C18, ,c642f9c76909c4eb,7282,0.000154751,0.073742884,2317052.121,9214.910917
111,111,Los Angeles,C,C17, ,7a8bfb4622b9a3cb,7281,0.000147548,0.095832306,2209334.34,11308.29571
112,112,Los Angeles,C,C160, ,5bbe8987f28e3ca0,7092,0.000358055,0.097636197,5345061.578,12045.70476
113,113,Los Angeles,A,A14, ,8d1d1525bb81ca5d,7343,0.00026294,0.123676903,3935816.156,14414.99685
114,114,Los Angeles,C,C91, ,badc1b665fcecbf4,7177,0.000299535,0.104017917,4481872.293,12716.54464
115,115,Los Angeles,C,C124, ,ee62f8ef82c836ea,7136,0.000104774,0.051298096,1566625.082,6208.192813
116,116,Los Angeles,D,D62, ,c3c03d74ed725a44,7008,0.000129993,0.090427978,1938897.508,10989.05111
117,117,Los Angeles,C,C33, ,628c33d7b4f8a702,888,0.000157082,0.068747402,2351417.051,8626.584155
118,118,Los Angeles,B,B88, ,10c14782548573fb,6802,5.58E-05,0.038552107,834099.707,4725.194656
119,119,Los Angeles,C,C45, ,fbb71ca97634a7de,7330,0.000342511,0.131217828,5127195.488,15779.47403
120,120,Los Angeles,C,C101, ,8706a1ea9738ce55,7101,0.000231762,0.096899506,3463432.387,11621.32618
121,121,Los Angeles,D,D58, ,44f568db6f9fbe5e,7382,0.000104433,0.096744773,1560458.105,11837.94463
122,122,Los Angeles,D,D57, ,54a8f4bbf3a0858e,6962,8.28E-05,0.05311815,1237093.582,6459.125542
123,123,Los Angeles,D,D43, ,f3e6609614392c0d,884,0.000126418,0.054874331,1888230.426,6762.575866
124,124,Los Angeles,C,C47, ,661f959bff6e41f5,7333,0.000179188,0.060119373,2681297.305,7145.13796
125,125,Los Angeles,B,B74, ,7ec8f907e7336fde,7195,0.000172908,0.075949432,2587852.43,9382.858556
126,126,Los Angeles,B,B73, ,242c72d08004f317,7197,7.07E-05,0.043910228,1057956.895,5108.300897
127,127,Los Angeles,C,C147, ,9cd495f64da250a1,431,7.63E-05,0.043119602,1139473.535,5461.046774
128,128,Los Angeles,D,D40, ,2564e5261b759fff,7099,0.000122345,0.056473392,1828164.5,6697.664343
129,129,Los Angeles,B,B80, ,6cc201a3ff82da04,7113,0.000197354,0.090126824,2950023.84,11335.77969
130,130,Los Angeles,A,A47, ,112476cfee7ae2ca,7114,8.52E-05,0.044533997,1274156.523,5376.969118
131,131,Los Angeles,C,C95, ,79b5fc7c4a1d01e8,889,0.000217399,0.134416153,3253517.516,16248.47385
132,132,Los Angeles,D,D34, ,666412fdced1284c,7194,0.000319835,0.081020993,4784632.484,9878.36253
133,133,Los Angeles,D,D37, ,dc411bca11ee8c5d,891,4.84E-05,0.02827273,724005.2734,3452.307623
